,Write,Query Using Where,Query Without Where
1,0.003516697,7.63548E-06,5.26083E-06
2,0.003654493,1.08278E-05,9.62436E-06
3,0.003480608,2.18305E-05,2.06283E-05
4,0.004953378,2.52839E-05,2.86676E-05
5,0.004881836,5.0561E-05,3.54027E-05
6,0.004733229,4.16253E-05,4.28351E-05
7,0.004568145,3.94705E-05,3.71479E-05
8,0.004467108,5.8124E-05,0.000106294
9,0.004737685,7.35318E-05,6.02939E-05
10,0.005204292,0.000109301,8.41277E-05
11,0.004896834,9.05319E-05,0.000168592
12,0.005433023,0.000127972,0.000119056
13,0.004993333,0.000105735,0.000105321
14,0.005144871,9.08706E-05,9.27399E-05
15,0.005048432,0.00013041,0.000113967
16,0.005219258,0.000263479,0.000105631
17,0.005664439,0.000428704,0.000164286
18,0.005619285,0.000282331,0.000271328
19,0.005092913,0.000200665,0.000186163
20,0.004963203,0.000134476,0.000115129
21,0.00506672,0.000140328,0.000136937
22,0.004621163,0.000162448,0.000122563
23,0.003695011,8.60873E-05,8.42885E-05
24,0.003674788,8.14713E-05,9.3535E-05
25,0.003175052,0.000157825,0.000212801
26,0.003358988,8.91274E-05,9.80691E-05
27,0.004116015,0.000111069,0.000121045
28,0.003843344,0.00015238,0.000122482
29,0.004133773,0.00014297,0.000148472
30,0.004083827,0.000109533,0.000108461
31,0.003640995,0.000129155,0.000135886
32,0.003868487,0.000128842,0.000105728
33,0.003561902,0.000157755,0.000180811
34,0.003773005,0.000221826,0.000183679
35,0.003443905,0.000174165,0.000165261
36,0.003296164,0.000182741,0.000179629
37,0.003648862,0.000263605,0.000258688
38,0.003721276,0.000199258,0.000174733
39,0.004051837,0.000274922,0.000200918
40,0.003187282,0.000193137,0.000208415
41,0.00306082,0.000291529,0.000284447
42,0.003268271,0.000211431,0.000215539
43,0.003154893,0.000188444,0.000199152
44,0.003103594,0.00036456,0.00031517
45,0.003672886,0.000221925,0.000322093
46,0.003242907,0.000216335,0.000211394
47,0.004505967,0.000312777,0.000436088
48,0.003930046,0.000238966,0.000217697
49,0.003433387,0.000227268,0.000217451
50,0.004356597,0.000288139,0.000363476
51,0.004465292,0.00039812,0.00038542
52,0.003692055,0.000320645,0.00046199
53,0.004521317,0.000318271,0.000329544
54,0.004255044,0.00052052,0.000302293
55,0.004428756,0.000266014,0.000372062
56,0.004065422,0.000236301,0.000243805
57,0.003703514,0.000350329,0.000253028
58,0.003797879,0.000269545,0.000313024
59,0.003213405,0.000259775,0.000266686
60,0.003622676,0.000257967,0.000256548
61,0.003968002,0.000348089,0.000303869
62,0.003493072,0.000343826,0.000369169
63,0.00389733,0.000433886,0.000742551
64,0.004280906,0.000560989,0.000336266
65,0.003401187,0.000355769,0.000387138
66,0.00358344,0.0002718,0.000358423
67,0.003318146,0.000275835,0.000295528
68,0.003379581,0.000277521,0.000270792
69,0.003607735,0.000248222,0.000253573
70,0.003441641,0.000295714,0.000340592
71,0.003494842,0.000338118,0.000361663
72,0.003622834,0.000303171,0.000294376
73,0.003650861,0.000307367,0.000333357
74,0.003446849,0.000333807,0.000328317
75,0.003497385,0.000537414,0.000405818
76,0.003461995,0.000459713,0.00045395
77,0.003710483,0.000583488,0.00059687
78,0.003518087,0.00044906,0.000403547
79,0.003698892,0.000439715,0.000350293
80,0.003560978,0.000434779,0.000382243
81,0.003540844,0.000455957,0.00041562
82,0.003425646,0.000487776,0.000419006
83,0.003668415,0.000521876,0.000445741
84,0.003362655,0.000403869,0.000390635
85,0.004680926,0.001152412,0.000418447
86,0.00406592,0.00093001,0.00074496
87,0.004098304,0.000772705,0.000481264
88,0.004353659,0.000727744,0.000556972
89,0.003656909,0.000448207,0.000360975
90,0.003880184,0.000656815,0.000609648
91,0.003530724,0.000558375,0.000484415
92,0.003537269,0.00051618,0.000467052
93,0.003548252,0.000519879,0.000498044
94,0.003315312,0.00043374,0.000506013
95,0.003258967,0.000406508,0.000413883
96,0.003519443,0.000496867,0.000554659
97,0.003415594,0.000541581,0.00053533
98,0.003599733,0.000495409,0.00056661
99,0.003263848,0.000593099,0.000821173
100,0.003135329,0.000463798,0.000498398
101,0.003321487,0.000413471,0.000464605
102,0.003409148,0.000461819,0.000397559
103,0.00380818,0.000431025,0.000450362
104,0.00362031,0.000589642,0.000524574
105,0.003974803,0.000927469,0.000818559
106,0.003047328,0.000545832,0.00056648
107,0.004010806,0.000694493,0.000572185
108,0.004012155,0.000544607,0.000664765
109,0.003438811,0.000543352,0.000760069
110,0.003454569,0.000867133,0.001025656
111,0.003605838,0.000498542,0.000644836
112,0.004451259,0.000734987,0.000595492
113,0.003646632,0.000484114,0.00050716
114,0.004426401,0.000447507,0.000440268
115,0.003385134,0.000442204,0.00055055
116,0.003634953,0.000477189,0.00074637
